transaction_name,category_name
iberia,Transportation
iberia #8832,Transportation
alitalia,Transportation
alitalia #8832,Transportation
swiss international,Transportation
swiss international ltd,Transportation
austrian airlines,Transportation
austrian airlines payment,Transportation
brussels airlines,Transportation
brussels airlines direct debit,Transportation
finnair,Transportation
finnair svcs,Transportation
tap air portugal,Transportation
tap air portugal payment,Transportation
sas scandinavian,Transportation
sas scandinavian payment,Transportation
norwegian air,Transportation
norwegian air payment,Transportation
ryanair,Transportation
ryanair #8832,Transportation
easyjet,Transportation
easyjet #8832,Transportation
wizz air,Transportation
wizz air store,Transportation
vueling,Transportation
vueling ltd,Transportation
eurowings,Transportation
eurowings payment,Transportation
condor airlines,Transportation
condor airlines payment,Transportation
tui fly,Transportation
tui fly #8832,Transportation
emirates,Transportation
emirates ltd,Transportation
qatar airways,Transportation
qatar airways svcs,Transportation
etihad airways,Transportation
etihad airways payment,Transportation
turkish airlines,Transportation
turkish airlines svcs,Transportation
singapore airlines,Transportation
singapore airlines direct debit,Transportation
cathay pacific,Transportation
cathay pacific direct debit,Transportation
ana all nippon,Transportation
ana all nippon direct debit,Transportation
japan airlines,Transportation
japan airlines svcs,Transportation
korean air,Transportation
korean air #8832,Transportation
asiana airlines,Transportation
asiana airlines direct debit,Transportation
china southern,Transportation
china southern direct debit,Transportation
china eastern,Transportation
china eastern direct debit,Transportation
air china,Transportation
air china direct debit,Transportation
hainan airlines,Transportation
hainan airlines store,Transportation
air india,Transportation
air india payment,Transportation
qantas,Transportation
qantas #8832,Transportation
air new zealand,Transportation
air new zealand ltd,Transportation
virgin australia,Transportation
virgin australia payment,Transportation
air canada,Transportation
air canada svcs,Transportation
westjet,Transportation
westjet direct debit,Transportation
porter airlines,Transportation
porter airlines svcs,Transportation
aeromexico,Transportation
aeromexico svcs,Transportation
latam airlines,Transportation
latam airlines bill,Transportation
avianca,Transportation
avianca bill,Transportation
copa airlines,Transportation
copa airlines direct debit,Transportation
gol linhas aereas,Transportation
gol linhas aereas bill,Transportation
azul brazilian,Transportation
azul brazilian direct debit,Transportation
aerolineas argentinas,Transportation
aerolineas argentinas ltd,Transportation
via rail canada,Transportation
via rail canada svcs,Transportation
eurostar,Transportation
eurostar bill,Transportation
thalys,Transportation
thalys svcs,Transportation
sncf,Transportation
sncf store,Transportation
deutsche bahn,Transportation
deutsche bahn direct debit,Transportation
renfe,Transportation
renfe bill,Transportation
trenitalia,Transportation
trenitalia direct debit,Transportation
öbb,Transportation
öbb svcs,Transportation
sbb cff ffs,Transportation
sbb cff ffs direct debit,Transportation
jr group,Transportation
jr group svcs,Transportation
amtrak northeast regional,Transportation
amtrak northeast regional direct debit,Transportation
amtrak acela,Transportation
amtrak acela ltd,Transportation
amtrak silver meteor,Transportation
amtrak silver meteor ltd,Transportation
amtrak empire builder,Transportation
amtrak empire builder store,Transportation
amtrak california zephyr,Transportation
amtrak california zephyr direct debit,Transportation
amtrak southwest chief,Transportation
amtrak southwest chief #8832,Transportation
greyhound canada,Transportation
greyhound canada svcs,Transportation
coach usa,Transportation
coach usa bill,Transportation
megabus uk,Transportation
megabus uk direct debit,Transportation
national express,Transportation
national express svcs,Transportation
flixbus,Transportation
flixbus ltd,Transportation
blablacar,Transportation
blablacar store,Transportation
bolt ride,Transportation
bolt ride bill,Transportation
free now,Transportation
free now store,Transportation
gett,Transportation
gett bill,Transportation
cabify,Transportation
cabify ltd,Transportation
ola cabs,Transportation
ola cabs direct debit,Transportation
grab,Transportation
grab payment,Transportation
gojek,Transportation
gojek direct debit,Transportation
careem,Transportation
careem svcs,Transportation
yandex go,Transportation
yandex go payment,Transportation
didi chuxing,Transportation
didi chuxing ltd,Transportation
beat ride,Transportation
beat ride store,Transportation
heetch,Transportation
heetch #8832,Transportation
kapten,Transportation
kapten bill,Transportation
wheely,Transportation
wheely payment,Transportation
blacklane,Transportation
blacklane #8832,Transportation
groundlink,Transportation
groundlink ltd,Transportation
supershuttle,Transportation
supershuttle store,Transportation
execucar,Transportation
execucar ltd,Transportation
carmel car & limo,Transportation
carmel car & limo #8832,Transportation
dial 7,Transportation
dial 7 bill,Transportation
lyft pink,Transportation
lyft pink payment,Transportation
uber one,Transportation
uber one ltd,Transportation
citi bike,Transportation
citi bike store,Transportation
divvy bikes,Transportation
divvy bikes svcs,Transportation
bluebikes,Transportation
bluebikes svcs,Transportation
capital bikeshare,Transportation
capital bikeshare bill,Transportation
bay wheels,Transportation
bay wheels payment,Transportation
biki,Transportation
biki store,Transportation
indego,Transportation
indego #8832,Transportation
bublr bikes,Transportation
bublr bikes payment,Transportation
nice ride minnesota,Transportation
nice ride minnesota svcs,Transportation
metro bike share,Transportation
metro bike share direct debit,Transportation
ford gobike,Transportation
ford gobike ltd,Transportation
cvs health clinic,Transportation
cvs health clinic payment,Health
minuteclinic,Health
minuteclinic #8832,Health
walgreens health,Health
walgreens health payment,Health
rite aid pharmacy,Health
rite aid pharmacy store,Health
duane reade,Health
duane reade payment,Health
boots pharmacy,Health
boots pharmacy svcs,Health
superdrug pharmacy,Health
superdrug pharmacy store,Health
lloydspharmacy,Health
lloydspharmacy bill,Health
well pharmacy,Health
well pharmacy #8832,Health
shoppers drug mart,Health
shoppers drug mart svcs,Health
rexall,Health
rexall store,Health
london drugs,Health
london drugs #8832,Health
jean coutu,Health
jean coutu #8832,Health
pharmaprix,Health
pharmaprix payment,Health
familiprix,Health
familiprix bill,Health
uniprix,Health
uniprix direct debit,Health
brunet,Health
brunet direct debit,Health
proxim,Health
proxim #8832,Health
chemist warehouse,Health
chemist warehouse ltd,Health
priceline pharmacy,Health
priceline pharmacy ltd,Health
terrywhite chemmart,Health
terrywhite chemmart payment,Health
guardian pharmacy,Health
amcal,Health
discount drug stores,Health
apollo pharmacy,Health
medplus,Health
netmeds,Health
1mg,Health
pharmeasy,Health
ping an good doctor,Health
alihealth,Health
jd health,Health
teladoc health,Health
amwell,Health
doctor on demand,Health
mdlive,Health
hims & hers health,Health
roman health,Health
lemonaid health,Health
plushcare,Health
zocdoc,Health
healthline,Health
webmd,Health
medscape,Health
mayo clinic care,Health
cleveland clinic health,Health
johns hopkins medicine,Health
massachusetts general,Health
mount sinai hospital,Health
cedars-sinai medical center,Health
ucla health,Health
stanford health care,Health
nyu langone health,Health
northwell health,Health
kaiser foundation,Health
providence health,Health
ascension health,Health
commonspirit health,Health
trinity health,Health
banner health,Health
intermountain healthcare,Health
geisinger health,Health
spectrum health,Health
henry ford health,Health
cleveland clinic ohio,Health
upmc health system,Health
jefferson health,Health
penn medicine,Health
temple health,Health
main line health,Health
virtua health,Health
cooper university health care,Health
hackensack meridian health,Health
rwjbarnabas health,Health
atlantic health system,Health
summit health,Health
citymd,Health
gohealth urgent care,Health
medpost,Health
patient first,Health
nextcare urgent care,Health
fastmed urgent care,Health
american family care,Health
carespot urgent care,Health
concentra urgent care,Health
u.s. healthworks,Health
nova medical centers,Health
five guys burgers,Dining Out
fatburger,Dining Out
steak 'n shake,Dining Out
checkers drive-in,Dining Out
rally's,Dining Out
hardee's,Dining Out
carl's jr.,Dining Out
white castle,Dining Out
krystal,Dining Out
cook out,Dining Out
hooters,Dining Out
twin peaks,Dining Out
miller's ale house,Dining Out
yard house,Dining Out
bj's restaurant & brewhouse,Dining Out
california pizza kitchen,Dining Out
blaze pizza,Dining Out
mod pizza,Dining Out
pieology,Dining Out
mellow mushroom,Dining Out
papa john's,Dining Out
little caesars,Dining Out
marco's pizza,Dining Out
jet's pizza,Dining Out
hungry howie's,Dining Out
round table pizza,Dining Out
mountain mike's,Dining Out
godfather's pizza,Dining Out
chuck e. cheese,Dining Out
dave & buster's restaurant,Dining Out
main event entertainment,Dining Out
topgolf food & beverage,Dining Out
panda express,Dining Out
p.f. chang's,Dining Out
pei wei asian diner,Dining Out
benihana,Dining Out
gyu-kaku japanese bbq,Dining Out
wagamama,Dining Out
yo! sushi,Dining Out
itsu,Dining Out
wasabi,Dining Out
del taco,Dining Out
taco john's,Dining Out
taco cabana,Dining Out
el pollo loco,Dining Out
chuy's,Dining Out
on the border,Dining Out
pappasito's cantina,Dining Out
uncle julio's,Dining Out
rosa mexicano,Dining Out
torchy's tacos,Dining Out
velvet taco,Dining Out
condado tacos,Dining Out
fogo de chão,Dining Out
texas de brazil,Dining Out
rodizio grill,Dining Out
ruth's chris steak house,Dining Out
morton's the steakhouse,Dining Out
the capital grille,Dining Out
fleming's prime steakhouse,Dining Out
stk steakhouse,Dining Out
del frisco's,Dining Out
ocean prime,Dining Out
eddie v's prime seafood,Dining Out
mccormick & schmick's,Dining Out
legal sea foods,Dining Out
joe's crab shack,Dining Out
bubba gump shrimp co.,Dining Out
red lobster,Dining Out
captain d's,Dining Out
long john silver's,Dining Out
arthur treacher's,Dining Out
ivar's,Dining Out
anthony's homeport,Dining Out
the old spaghetti factory,Dining Out
maggiano's little italy,Dining Out
buca di beppo,Dining Out
carrabba's italian grill,Dining Out
bertucci's,Dining Out
